# Project Progress

| Category               | Progress Percent |
|------------------------|------------------|
| Textures - Blocks      | 0.00%            |
| Textures - Color Map   | 0.00%            |
| Textures - Effects     | 0.00%            |
| Textures - Entities    | 0.00%            |
| Textures - Environment | 0.00%            |
| Textures - Font        | 0.00%            |
| Textures - GUI         | 0.00%            |
| Textures - Items       | 0.00%            |
| Textures - Map         | 0.00%            |
| Textures - Misc        | 0.00%            |
| Textures - Mob Effect  | 0.00%            |
| Textures - Models      | 0.00%            |
| Textures - Paintings   | 0.00%            |
| Textures - Particles   | 0.00%            |
| Grand Total            | 0.00%            |

# Detailed

| Category               | Name                               | Progress |
| Textures - Blocks      | Concrete Brown                     | 0        |
| Textures - Blocks      | Concrete Cyan                      | 0        |
| Textures - Blocks      | Concrete Gray                      | 0        |
| Textures - Blocks      | Concrete Green                     | 0        |
| Textures - Blocks      | Concrete Light Blue                | 0        |
| Textures - Blocks      | Concrete Light Gray                | 0        |
| Textures - Blocks      | Concrete Lime                      | 0        |
| Textures - Blocks      | Concrete Magenta                   | 0        |
| Textures - Blocks      | Concrete Orange                    | 0        |
| Textures - Blocks      | Concrete Pink                      | 0        |
| Textures - Blocks      | Concrete Powder Black              | 0        |
| Textures - Blocks      | Concrete Powder Blue               | 0        |
| Textures - Blocks      | Concrete Powder Brown              | 0        |
| Textures - Blocks      | Concrete Powder Cyan               | 0        |
| Textures - Blocks      | Concrete Powder Gray               | 0        |
| Textures - Blocks      | Concrete Powder Green              | 0        |
| Textures - Blocks      | Concrete Powder Light Blue         | 0        |
| Textures - Blocks      | Concrete Powder Light Gray         | 0        |
| Textures - Blocks      | Concrete Powder Lime               | 0        |
| Textures - Blocks      | Concrete Powder Magenta            | 0        |
| Textures - Blocks      | Concrete Powder Orange             | 0        |
| Textures - Blocks      | Concrete Powder Pink               | 0        |
| Textures - Blocks      | Concrete Powder Purple             | 0        |
| Textures - Blocks      | Concrete Powder Red                | 0        |
| Textures - Blocks      | Concrete Powder White              | 0        |
| Textures - Blocks      | Concrete Powder Yellow             | 0        |
| Textures - Blocks      | Concrete Purple                    | 0        |
| Textures - Blocks      | Concrete Red                       | 0        |
| Textures - Blocks      | Concrete White                     | 0        |
| Textures - Blocks      | Concrete Yellow                    | 0        |
| Textures - Blocks      | Conduit                            | 0        |
| Textures - Blocks      | Cornflower                         | 0        |
| Textures - Blocks      | Crafting Table                     | 0        |
| Textures - Blocks      | Crimson Door                       | 0        |
| Textures - Blocks      | Crimson Fungus                     | 0        |
| Textures - Blocks      | Crimson Nylium                     | 0        |
| Textures - Blocks      | Crimson Planks                     | 0        |
| Textures - Blocks      | Crimson Roots                      | 0        |
| Textures - Blocks      | Crimson Roots Pot                  | 0        |
| Textures - Blocks      | Crimson Stem                       | 0        |
| Textures - Blocks      | Crimson Trapdoor                   | 0        |
| Textures - Blocks      | Crying Obsidian                    | 0        |
| Textures - Blocks      | Dandelion                          | 0        |
| Textures - Blocks      | Dark Oak Door                      | 0        |
| Textures - Blocks      | Dark Oak Leaves                    | 0        |
| Textures - Blocks      | Dark Oak Log                       | 0        |
| Textures - Blocks      | Dark Oak Planks                    | 0        |
| Textures - Blocks      | Dark Oak Sapling                   | 0        |
| Textures - Blocks      | Dark Oak Trapdoor                  | 0        |
| Textures - Blocks      | Dark Prismarine                    | 0        |
| Textures - Blocks      | Daylight Detector                  | 0        |
| Textures - Blocks      | Dead Brain Coral                   | 0        |
| Textures - Blocks      | Dead Brain Coral Block             | 0        |
| Textures - Blocks      | Dead Brain Coral Fan               | 0        |
| Textures - Blocks      | Dead Bubble Coral                  | 0        |
| Textures - Blocks      | Dead Bubble Coral Block            | 0        |
| Textures - Blocks      | Dead Bubble Coral Fan              | 0        |
| Textures - Blocks      | Dead Bush                          | 0        |
| Textures - Blocks      | Dead Fire Coral                    | 0        |
| Textures - Blocks      | Dead Fire Coral Block              | 0        |
| Textures - Blocks      | Dead Fire Coral Fan                | 0        |
| Textures - Blocks      | Dead Horn Coral                    | 0        |
| Textures - Blocks      | Dead Horn Coral Block              | 0        |
| Textures - Blocks      | Dead Horn Coral Fan                | 0        |
| Textures - Blocks      | Dead Tube Coral                    | 0        |
| Textures - Blocks      | Dead Tube Coral Block              | 0        |
| Textures - Blocks      | Dead Tube Coral Fan                | 0        |
| Textures - Blocks      | Destroy Stages                     | 0        |
| Textures - Blocks      | Detector Rail                      | 0        |
| Textures - Blocks      | Diamond Block                      | 0        |
| Textures - Blocks      | Diamond Ore                        | 0        |
| Textures - Blocks      | Diorite                            | 0        |
| Textures - Blocks      | Diorite Polished                   | 0        |
| Textures - Blocks      | Dirt                               | 0        |
| Textures - Blocks      | Dispenser                          | 0        |
| Textures - Blocks      | Dragon Egg                         | 0        |
| Textures - Blocks      | Dried Kelp                         | 0        |
| Textures - Blocks      | Dropper                            | 0        |
| Textures - Blocks      | Emerald Block                      | 0        |
| Textures - Blocks      | Emerald Ore                        | 0        |
| Textures - Blocks      | Enchanting Table                   | 0        |
| Textures - Blocks      | End Portal Frame                   | 0        |
| Textures - Blocks      | End Rod                            | 0        |
| Textures - Blocks      | End Stone                          | 0        |
| Textures - Blocks      | End Stone Bricks                   | 0        |
| Textures - Blocks      | Farmland                           | 0        |
| Textures - Blocks      | Fern                               | 0        |
| Textures - Blocks      | Fire                               | 0        |
| Textures - Blocks      | Fire Coral                         | 0        |
| Textures - Blocks      | Fire Coral Block                   | 0        |
| Textures - Blocks      | Fire Coral Fan                     | 0        |
| Textures - Blocks      | Fletching Table                    | 0        |
| Textures - Blocks      | Flower Pot                         | 0        |
| Textures - Blocks      | Frosted Ice                        | 0        |
| Textures - Blocks      | Furnace                            | 0        |
| Textures - Blocks      | Gilded Blackstone                  | 0        |
| Textures - Blocks      | Glass                              | 0        |
| Textures - Blocks      | Glass Pane                         | 0        |
| Textures - Blocks      | Glazed Terracotta Black            | 0        |
| Textures - Blocks      | Glazed Terracotta Blue             | 0        |
| Textures - Blocks      | Glazed Terracotta Brown            | 0        |
| Textures - Blocks      | Glazed Terracotta Cyan             | 0        |
| Textures - Blocks      | Glazed Terracotta Gray             | 0        |
| Textures - Blocks      | Glazed Terracotta Green            | 0        |
| Textures - Blocks      | Glazed Terracotta Light Blue       | 0        |
| Textures - Blocks      | Glazed Terracotta Light Gray       | 0        |
| Textures - Blocks      | Glazed Terracotta Lime             | 0        |
| Textures - Blocks      | Glazed Terracotta Magenta          | 0        |
| Textures - Blocks      | Glazed Terracotta Orange           | 0        |
| Textures - Blocks      | Glazed Terracotta Pink             | 0        |
| Textures - Blocks      | Glazed Terracotta Purple           | 0        |
| Textures - Blocks      | Glazed Terracotta Red              | 0        |
| Textures - Blocks      | Glazed Terracotta White            | 0        |
| Textures - Blocks      | Glazed Terracotta Yellow           | 0        |
| Textures - Blocks      | Glowstone                          | 0        |
| Textures - Blocks      | Gold Block                         | 0        |
| Textures - Blocks      | Gold Ore                           | 0        |
| Textures - Blocks      | Granite                            | 0        |
| Textures - Blocks      | Granite Polished                   | 0        |
| Textures - Blocks      | Grass                              | 0        |
| Textures - Blocks      | Grass Block                        | 0        |
| Textures - Blocks      | Grass Block Snow                   | 0        |
| Textures - Blocks      | Grass Path                         | 0        |
| Textures - Blocks      | Gravel                             | 0        |
| Textures - Blocks      | Grindstone                         | 0        |
| Textures - Blocks      | Hay Block                          | 0        |
| Textures - Blocks      | Honey Block                        | 0        |
| Textures - Blocks      | Honeycomb Block                    | 0        |
| Textures - Blocks      | Hopper                             | 0        |
| Textures - Blocks      | Horn Coral                         | 0        |
| Textures - Blocks      | Horn Coral Block                   | 0        |
| Textures - Blocks      | Horn Coral Fan                     | 0        |
| Textures - Blocks      | Ice                                | 0        |
| Textures - Blocks      | Iron Bars                          | 0        |
| Textures - Blocks      | Iron Block                         | 0        |
| Textures - Blocks      | Iron Door                          | 0        |
| Textures - Blocks      | Iron Ore                           | 0        |
| Textures - Blocks      | Iron Trapdoor                      | 0        |
| Textures - Blocks      | Item Frame                         | 0        |
| Textures - Blocks      | Jack O Lantern                     | 0        |
| Textures - Blocks      | Jigsaw                             | 0        |
| Textures - Blocks      | Jukebox                            | 0        |
| Textures - Blocks      | Jungle Door                        | 0        |
| Textures - Blocks      | Jungle Leaves                      | 0        |
| Textures - Blocks      | Jungle Log                         | 0        |
| Textures - Blocks      | Jungle Planks                      | 0        |
| Textures - Blocks      | Jungle Sapling                     | 0        |
| Textures - Blocks      | Jungle Trapdoor                    | 0        |
| Textures - Blocks      | Kelp                               | 0        |
| Textures - Blocks      | Ladder                             | 0        |
| Textures - Blocks      | Lantern                            | 0        |
| Textures - Blocks      | Lapis Block                        | 0        |
| Textures - Blocks      | Lapis Ore                          | 0        |
| Textures - Blocks      | Large Fern                         | 0        |
| Textures - Blocks      | Lava                               | 0        |
| Textures - Blocks      | Lectern                            | 0        |
| Textures - Blocks      | Lever                              | 0        |
| Textures - Blocks      | Lilac                              | 0        |
| Textures - Blocks      | Lily Of The Valley                 | 0        |
| Textures - Blocks      | Lily Pad                           | 0        |
| Textures - Blocks      | Lodestone                          | 0        |
| Textures - Blocks      | Loom                               | 0        |
| Textures - Blocks      | Melon                              | 0        |
| Textures - Blocks      | Mushroom Block                     | 0        |
| Textures - Blocks      | Mycelium                           | 0        |
| Textures - Blocks      | Nether Bricks                      | 0        |
| Textures - Blocks      | Nether Bricks Chiseled             | 0        |
| Textures - Blocks      | Nether Bricks Cracked              | 0        |
| Textures - Blocks      | Nether Bricks Red                  | 0        |
| Textures - Blocks      | Nether Gold Ore                    | 0        |
| Textures - Blocks      | Nether Portal                      | 0        |
| Textures - Blocks      | Nether Quartz Ore                  | 0        |
| Textures - Blocks      | Nether Sprouts                     | 0        |
| Textures - Blocks      | Nether Wart                        | 0        |
| Textures - Blocks      | Nether Wart Block                  | 0        |
| Textures - Blocks      | Netherite Block                    | 0        |
| Textures - Blocks      | Netherrack                         | 0        |
| Textures - Blocks      | Note Block                         | 0        |
| Textures - Blocks      | Oak Door                           | 0        |
| Textures - Blocks      | Oak Leaves                         | 0        |
| Textures - Blocks      | Oak Log                            | 0        |
| Textures - Blocks      | Oak Planks                         | 0        |
| Textures - Blocks      | Oak Sapling                        | 0        |
| Textures - Blocks      | Oak Trapdoor                       | 0        |
| Textures - Blocks      | Observer                           | 0        |
| Textures - Blocks      | Obsidian                           | 0        |
| Textures - Blocks      | Orange Tulip                       | 0        |
| Textures - Blocks      | Oxeye Daisy                        | 0        |
| Textures - Blocks      | Packed Ice                         | 0        |
| Textures - Blocks      | Peony                              | 0        |
| Textures - Blocks      | Pink Tulip                         | 0        |
| Textures - Blocks      | Piston                             | 0        |
| Textures - Blocks      | Podzol                             | 0        |
| Textures - Blocks      | Poppy                              | 0        |
| Textures - Blocks      | Potatoes                           | 0        |
| Textures - Blocks      | Powered Rail                       | 0        |
| Textures - Blocks      | Prismarine                         | 0        |
| Textures - Blocks      | Prismarine Bricks                  | 0        |
| Textures - Blocks      | Pumpkin                            | 0        |
| Textures - Blocks      | Purpur Block                       | 0        |
| Textures - Blocks      | Purpur Pillar                      | 0        |
| Textures - Blocks      | Quartz Block                       | 0        |
| Textures - Blocks      | Quartz Block Chiseled              | 0        |
| Textures - Blocks      | Quartz Bricks                      | 0        |
| Textures - Blocks      | Quartz Pillar                      | 0        |
| Textures - Blocks      | Rail                               | 0        |
| Textures - Blocks      | Red Mushroom                       | 0        |
| Textures - Blocks      | Red Mushroom Block                 | 0        |
| Textures - Blocks      | Red Tulip                          | 0        |
| Textures - Blocks      | Redstone Block                     | 0        |
| Textures - Blocks      | Redstone Dust                      | 0        |
| Textures - Blocks      | Redstone Lamp                      | 0        |
| Textures - Blocks      | Redstone Ore                       | 0        |
| Textures - Blocks      | Redstone Torch                     | 0        |
| Textures - Blocks      | Repeater                           | 0        |
| Textures - Blocks      | Rose Bush                          | 0        |
| Textures - Blocks      | Sand                               | 0        |
| Textures - Blocks      | Sand Red                           | 0        |
| Textures - Blocks      | Sandstone                          | 0        |
| Textures - Blocks      | Sandstone Chiseled                 | 0        |
| Textures - Blocks      | Sandstone Cut                      | 0        |
| Textures - Blocks      | Sandstone Red                      | 0        |
| Textures - Blocks      | Sandstone Red Chiseled             | 0        |
| Textures - Blocks      | Sandstone Red Cut                  | 0        |
| Textures - Blocks      | Scaffolding                        | 0        |
| Textures - Blocks      | Sea Lantern                        | 0        |
| Textures - Blocks      | Sea Pickle                         | 0        |
| Textures - Blocks      | Seagrass                           | 0        |
| Textures - Blocks      | Shroomlight                        | 0        |
| Textures - Blocks      | Shulker Box                        | 0        |
| Textures - Blocks      | Shulker Box Black                  | 0        |
| Textures - Blocks      | Shulker Box Blue                   | 0        |
| Textures - Blocks      | Shulker Box Brown                  | 0        |
| Textures - Blocks      | Shulker Box Cyan                   | 0        |
| Textures - Blocks      | Shulker Box Gray                   | 0        |
| Textures - Blocks      | Shulker Box Green                  | 0        |
| Textures - Blocks      | Shulker Box Light Blue             | 0        |
| Textures - Blocks      | Shulker Box Light Gray             | 0        |
| Textures - Blocks      | Shulker Box Lime                   | 0        |
| Textures - Blocks      | Shulker Box Magenta                | 0        |
| Textures - Blocks      | Shulker Box Orange                 | 0        |
| Textures - Blocks      | Shulker Box Pink                   | 0        |
| Textures - Blocks      | Shulker Box Purple                 | 0        |
| Textures - Blocks      | Shulker Box Red                    | 0        |
| Textures - Blocks      | Shulker Box White                  | 0        |
| Textures - Blocks      | Shulker Box Yellow                 | 0        |
| Textures - Blocks      | Slime Block                        | 0        |
| Textures - Blocks      | Smithing Table                     | 0        |
| Textures - Blocks      | Smoker                             | 0        |
| Textures - Blocks      | Smooth Stone                       | 0        |
| Textures - Blocks      | Smooth Stone Slab                  | 0        |
| Textures - Blocks      | Snow                               | 0        |
| Textures - Blocks      | Soul Campfire                      | 0        |
| Textures - Blocks      | Soul Fire                          | 0        |
| Textures - Blocks      | Soul Lantern                       | 0        |
| Textures - Blocks      | Soul Sand                          | 0        |
| Textures - Blocks      | Soul Soil                          | 0        |
| Textures - Blocks      | Soul Torch                         | 0        |
| Textures - Blocks      | Spawner                            | 0        |
| Textures - Blocks      | Sponge                             | 0        |
| Textures - Blocks      | Spruce Door Bottom                 | 0        |
| Textures - Blocks      | Spruce Leaves                      | 0        |
| Textures - Blocks      | Spruce Log                         | 0        |
| Textures - Blocks      | Spruce Planks                      | 0        |
| Textures - Blocks      | Spruce Sapling                     | 0        |
| Textures - Blocks      | Spruce Trapdoor                    | 0        |
| Textures - Blocks      | Stained Glass Black                | 0        |
| Textures - Blocks      | Stained Glass Blue                 | 0        |
| Textures - Blocks      | Stained Glass Brown                | 0        |
| Textures - Blocks      | Stained Glass Cyan                 | 0        |
| Textures - Blocks      | Stained Glass Gray                 | 0        |
| Textures - Blocks      | Stained Glass Green                | 0        |
| Textures - Blocks      | Stained Glass Light Blue           | 0        |
| Textures - Blocks      | Stained Glass Light Gray           | 0        |
| Textures - Blocks      | Stained Glass Lime                 | 0        |
| Textures - Blocks      | Stained Glass Magenta              | 0        |
| Textures - Blocks      | Stained Glass Orange               | 0        |
| Textures - Blocks      | Stained Glass Pane Black           | 0        |
| Textures - Blocks      | Stained Glass Pane Blue            | 0        |
| Textures - Blocks      | Stained Glass Pane Brown           | 0        |
| Textures - Blocks      | Stained Glass Pane Cyan            | 0        |
| Textures - Blocks      | Stained Glass Pane Gray            | 0        |
| Textures - Blocks      | Stained Glass Pane Green           | 0        |
| Textures - Blocks      | Stained Glass Pane Light Blue      | 0        |
| Textures - Blocks      | Stained Glass Pane Light Gray      | 0        |
| Textures - Blocks      | Stained Glass Pane Lime            | 0        |
| Textures - Blocks      | Stained Glass Pane Magenta         | 0        |
| Textures - Blocks      | Stained Glass Pane Orange          | 0        |
| Textures - Blocks      | Stained Glass Pane Pink            | 0        |
| Textures - Blocks      | Stained Glass Pane Purple          | 0        |
| Textures - Blocks      | Stained Glass Pane Red             | 0        |
| Textures - Blocks      | Stained Glass Pane White           | 0        |
| Textures - Blocks      | Stained Glass Pane Yellow          | 0        |
| Textures - Blocks      | Stained Glass Pink                 | 0        |
| Textures - Blocks      | Stained Glass Purple               | 0        |
| Textures - Blocks      | Stained Glass Red                  | 0        |
| Textures - Blocks      | Stained Glass White                | 0        |
| Textures - Blocks      | Stained Glass Yellow               | 0        |
| Textures - Blocks      | Stone                              | 0        |
| Textures - Blocks      | Stone Bricks                       | 0        |
| Textures - Blocks      | Stone Bricks Chiseled              | 0        |
| Textures - Blocks      | Stone Bricks Cracked               | 0        |
| Textures - Blocks      | Stone Bricks Mossy                 | 0        |
| Textures - Blocks      | Stonecutter                        | 0        |
| Textures - Blocks      | Sugar Cane                         | 0        |
| Textures - Blocks      | Sunflower                          | 0        |
| Textures - Blocks      | Sweet Berry Bush                   | 0        |
| Textures - Blocks      | Tall Grass                         | 0        |
| Textures - Blocks      | Tall Seagrass                      | 0        |
| Textures - Blocks      | Target                             | 0        |
| Textures - Blocks      | Terracotta                         | 0        |
| Textures - Blocks      | Terracotta Black                   | 0        |
| Textures - Blocks      | Terracotta Blue                    | 0        |
| Textures - Blocks      | Terracotta Brown                   | 0        |
| Textures - Blocks      | Terracotta Cyan                    | 0        |
| Textures - Blocks      | Terracotta Gray                    | 0        |
| Textures - Blocks      | Terracotta Green                   | 0        |
| Textures - Blocks      | Terracotta Light Blue              | 0        |
| Textures - Blocks      | Terracotta Light Gray              | 0        |
| Textures - Blocks      | Terracotta Lime                    | 0        |
| Textures - Blocks      | Terracotta Magenta                 | 0        |
| Textures - Blocks      | Terracotta Orange                  | 0        |
| Textures - Blocks      | Terracotta Pink                    | 0        |
| Textures - Blocks      | Terracotta Purple                  | 0        |
| Textures - Blocks      | Terracotta Red                     | 0        |
| Textures - Blocks      | Terracotta White                   | 0        |
| Textures - Blocks      | Terracotta Yellow                  | 0        |
| Textures - Blocks      | TNT                                | 0        |
| Textures - Blocks      | Torch                              | 0        |
| Textures - Blocks      | Tripwire                           | 0        |
| Textures - Blocks      | Tripwire Hook                      | 0        |
| Textures - Blocks      | Tube Coral                         | 0        |
| Textures - Blocks      | Tube Coral Block                   | 0        |
| Textures - Blocks      | Tube Coral Fan                     | 0        |
| Textures - Blocks      | Turtle Egg                         | 0        |
| Textures - Blocks      | Twisting Vines                     | 0        |
| Textures - Blocks      | Twisting Vines Plant               | 0        |
| Textures - Blocks      | Vine                               | 0        |
| Textures - Blocks      | Warped Door                        | 0        |
| Textures - Blocks      | Warped Fungus                      | 0        |
| Textures - Blocks      | Warped Nylium                      | 0        |
| Textures - Blocks      | Warped Planks                      | 0        |
| Textures - Blocks      | Warped Roots                       | 0        |
| Textures - Blocks      | Warped Roots Pot                   | 0        |
| Textures - Blocks      | Warped Stem                        | 0        |
| Textures - Blocks      | Warped Stem                        | 0        |
| Textures - Blocks      | Warped Trapdoor                    | 0        |
| Textures - Blocks      | Warped Wart Block                  | 0        |
| Textures - Blocks      | Water                              | 0        |
| Textures - Blocks      | Weeping Vines                      | 0        |
| Textures - Blocks      | Weeping Vines Plant                | 0        |
| Textures - Blocks      | Wet Sponge                         | 0        |
| Textures - Blocks      | Wheat                              | 0        |
| Textures - Blocks      | White Tulip                        | 0        |
| Textures - Blocks      | Wither Rose                        | 0        |
| Textures - Blocks      | Wool Black                         | 0        |
| Textures - Blocks      | Wool Blue                          | 0        |
| Textures - Blocks      | Wool Brown                         | 0        |
| Textures - Blocks      | Wool Cyan                          | 0        |
| Textures - Blocks      | Wool Gray                          | 0        |
| Textures - Blocks      | Wool Green                         | 0        |
| Textures - Blocks      | Wool Light Blue                    | 0        |
| Textures - Blocks      | Wool Light Gray                    | 0        |
| Textures - Blocks      | Wool Lime                          | 0        |
| Textures - Blocks      | Wool Magenta                       | 0        |
| Textures - Blocks      | Wool Orange                        | 0        |
| Textures - Blocks      | Wool Pink                          | 0        |
| Textures - Blocks      | Wool Purple                        | 0        |
| Textures - Blocks      | Wool Red                           | 0        |
| Textures - Blocks      | Wool White                         | 0        |
| Textures - Blocks      | Wool Yellow                        | 0        |
| Textures - Color Map   | Foliage                            | 0        |
| Textures - Color Map   | Grass                              | 0        |
| Textures - Effects     | Dither                             | 0        |
| Textures - Entities    | Armor Stand                        | 0        |
| Textures - Entities    | Arrow                              | 0        |
| Textures - Entities    | Banner                             | 0        |
| Textures - Entities    | Bat                                | 0        |
| Textures - Entities    | Beacon Beam                        | 0        |
| Textures - Entities    | Bear                               | 0        |
| Textures - Entities    | Bed                                | 0        |
| Textures - Entities    | Bee                                | 0        |
| Textures - Entities    | Bell                               | 0        |
| Textures - Entities    | Blaze                              | 0        |
| Textures - Entities    | Boat                               | 0        |
| Textures - Entities    | Cat                                | 0        |
| Textures - Entities    | Chest                              | 0        |
| Textures - Entities    | Chicken                            | 0        |
| Textures - Entities    | Conduit                            | 0        |
| Textures - Entities    | Cow                                | 0        |
| Textures - Entities    | Creeper                            | 0        |
| Textures - Entities    | Dolphin                            | 0        |
| Textures - Entities    | Elytra                             | 0        |
| Textures - Entities    | Enchanting Table Book              | 0        |
| Textures - Entities    | End Crystal                        | 0        |
| Textures - Entities    | End Gateway Beam                   | 0        |
| Textures - Entities    | End Portal Frame                   | 0        |
| Textures - Entities    | Ender Dragon                       | 0        |
| Textures - Entities    | Enderman                           | 0        |
| Textures - Entities    | Endermite                          | 0        |
| Textures - Entities    | Experience Orb                     | 0        |
| Textures - Entities    | Fish                               | 0        |
| Textures - Entities    | Fishing Hook                       | 0        |
| Textures - Entities    | Fox                                | 0        |
| Textures - Entities    | Ghast                              | 0        |
| Textures - Entities    | Guardian                           | 0        |
| Textures - Entities    | Guardian Beam                      | 0        |
| Textures - Entities    | Guardian Elder                     | 0        |
| Textures - Entities    | Hoglin                             | 0        |
| Textures - Entities    | Horse                              | 0        |
| Textures - Entities    | Illager                            | 0        |
| Textures - Entities    | Iron Golem                         | 0        |
| Textures - Entities    | Lead Knot                          | 0        |
| Textures - Entities    | Llama                              | 0        |
| Textures - Entities    | Minecart                           | 0        |
| Textures - Entities    | Panda                              | 0        |
| Textures - Entities    | Parrot                             | 0        |
| Textures - Entities    | Phantom                            | 0        |
| Textures - Entities    | Phantom Eyes                       | 0        |
| Textures - Entities    | Pig                                | 0        |
| Textures - Entities    | Piglin                             | 0        |
| Textures - Entities    | Projectiles                        | 0        |
| Textures - Entities    | Rabbit                             | 0        |
| Textures - Entities    | Sheep                              | 0        |
| Textures - Entities    | Shield                             | 0        |
| Textures - Entities    | Shulker                            | 0        |
| Textures - Entities    | Signs                              | 0        |
| Textures - Entities    | Silverfish                         | 0        |
| Textures - Entities    | Skeleton                           | 0        |
| Textures - Entities    | Slime                              | 0        |
| Textures - Entities    | Snow Golem                         | 0        |
| Textures - Entities    | Spider                             | 0        |
| Textures - Entities    | Spider Eyes                        | 0        |
| Textures - Entities    | Squid                              | 0        |
| Textures - Entities    | Strider                            | 0        |
| Textures - Entities    | Trident                            | 0        |
| Textures - Entities    | Trident Riptide                    | 0        |
| Textures - Entities    | Turtle                             | 0        |
| Textures - Entities    | Villager                           | 0        |
| Textures - Entities    | Wandering Trader                   | 0        |
| Textures - Entities    | Witch                              | 0        |
| Textures - Entities    | Wither                             | 0        |
| Textures - Entities    | Wolf                               | 0        |
| Textures - Entities    | Zombie                             | 0        |
| Textures - Entities    | Zombie Villager                    | 0        |
| Textures - Environment | Clouds                             | 0        |
| Textures - Environment | End Sky                            | 0        |
| Textures - Environment | Moon Phases                        | 0        |
| Textures - Environment | Rain                               | 0        |
| Textures - Environment | Snow                               | 0        |
| Textures - Environment | Sun                                | 0        |
| Textures - Font        | Font                               | 0        |
| Textures - GUI         | Accessibility                      | 0        |
| Textures - GUI         | Advancements                       | 0        |
| Textures - GUI         | Anvil                              | 0        |
| Textures - GUI         | Bars                               | 0        |
| Textures - GUI         | Beacon                             | 0        |
